CD,CL,dCD,dCL
0.1173,-0.3018,0.00045,0.00043
0.1008,-0.2754,0.00043,0.00042
0.0828,-0.2501,0.00042,0.00041
0.0561,-0.221,0.00041,0.00039
0.0455,-0.2004,0.0004,0.00039
0.0373,-0.165,0.00038,0.00038
0.0315,-0.1402,0.00038,0.00037
0.0265,-0.115,0.00037,0.00037
0.0236,-0.0899,0.00036,0.00036
0.0211,-0.0635,0.00036,0.00036
0.0183,-0.0371,0.00036,0.00036
0.0162,-0.0126,0.00035,0.00035
0.0158,0.02,0.00036,0.00035
0.015,0.0392,0.00036,0.00036
0.0142,0.0676,0.00036,0.00036
0.0147,0.0971,0.00036,0.00036
0.0169,0.1205,0.00037,0.00037
0.0195,0.1453,0.00038,0.00037
0.0216,0.1708,0.00038,0.00038
0.0223,0.1936,0.00039,0.00038
0.0253,0.2164,0.0004,0.00039
0.0301,0.2448,0.00041,0.0004
0.0328,0.2666,0.00042,0.00041
0.0375,0.2885,0.00044,0.00042
0.0428,0.3173,0.00045,0.00043
0.0484,0.3403,0.00046,0.00044
0.0538,0.3674,0.00048,0.00045
0.061,0.3829,0.00049,0.00046
0.0678,0.4102,0.00051,0.00047
0.0757,0.4311,0.00052,0.00049
0.0833,0.4502,0.00053,0.0005
0.0908,0.4681,0.00055,0.00051
0.0994,0.4883,0.00056,0.00052
0.1083,0.5054,0.00057,0.00053
0.1158,0.528,0.00059,0.00054
0.1257,0.5429,0.0006,0.00055
