alpha_deg,CL,dCL
-18.408,-0.3255,0.00042
-17.371,-0.3006,0.0004
-16.412,-0.2675,0.00039
-15.439,-0.2371,0.00037
-14.347,-0.2036,0.00036
-13.377,-0.1704,0.00035
-12.452,-0.1417,0.00035
-11.433,-0.1109,0.00034
-10.424,-0.0783,0.00033
-9.358,-0.0403,0.00033
-8.443,-0.0072,0.00033
-7.408,0.0248,0.00033
-6.394,0.0576,0.00033
-5.378,0.084,0.00033
-4.428,0.1214,0.00034
-3.423,0.1508,0.00035
-2.411,0.1784,0.00035
-1.37,0.2072,0.00036
-0.335,0.238,0.00037
0.578,0.2649,0.00038
1.598,0.2914,0.00039
2.636,0.3146,0.0004
3.557,0.3434,0.00041
4.638,0.3705,0.00042
5.605,0.4032,0.00044
6.638,0.4351,0.00045
7.672,0.4561,0.00046
8.576,0.4784,0.00048
9.601,0.4992,0.00049
10.615,0.5173,0.0005
11.619,0.5345,0.00051
12.625,0.5559,0.00052
13.602,0.5753,0.00053
14.622,0.5904,0.00054
15.641,0.6055,0.00055
16.597,0.6229,0.00056
